                function_name                |                                                                            parameters                                                                             |                                                                                                                                                            return_type                                                                                                                                                             | security 
 get_fund_nav_history                        | p_fund_id uuid, p_start_date date, p_end_date date                                                                                                                | TABLE(nav_date date, aum numeric, nav_per_share numeric, gross_return_pct numeric, net_return_pct numeric)                                                                                                                                                                                                                         | DEFINER
 get_fund_net_flows                          | p_fund_id text, p_start_date date, p_end_date date                                                                                                                | TABLE(period_date date, inflows numeric, outflows numeric, net_flow numeric)                                                                                                                                                                                                                                                       | DEFINER
 get_funds_with_aum                          |                                                                                                                                                                   | TABLE(fund_id uuid, fund_name text, fund_code text, asset text, fund_class text, status text, total_aum numeric, investor_count bigint)                                                                                                                                                                                            | DEFINER
 get_historical_nav                          | target_date date                                                                                                                                                  | TABLE(out_fund_id uuid, out_fund_name text, out_asset_code text, out_aum numeric, out_daily_inflows numeric, out_daily_outflows numeric, out_net_flow_24h numeric)                                                                                                                                                                 | INVOKER
 get_investor_period_summary                 | p_investor_id uuid, p_start_date date, p_end_date date                                                                                                            | TABLE(beginning_value numeric, ending_value numeric, additions numeric, redemptions numeric, net_income numeric, rate_of_return numeric)                                                                                                                                                                                           | DEFINER
 get_investor_portfolio_summary              | p_investor_id uuid                                                                                                                                                | TABLE(total_value numeric, total_shares numeric, fund_count bigint, total_cost_basis numeric, unrealized_gain numeric, last_updated timestamp with time zone)                                                                                                                                                                      | DEFINER
 get_investor_positions_by_class             | p_investor_id uuid                                                                                                                                                | TABLE(fund_class text, total_value numeric, total_pnl numeric, allocation_pct numeric)                                                                                                                                                                                                                                             | DEFINER
 get_monthly_platform_aum                    |                                                                                                                                                                   | TABLE(month text, total_aum numeric)                                                                                                                                                                                                                                                                                               | DEFINER
 get_period_ownership                        | p_fund_id uuid, p_period_id uuid                                                                                                                                  | TABLE(investor_id uuid, balance numeric, ownership_pct numeric, snapshot_date date, is_locked boolean)                                                                                                                                                                                                                             | INVOKER
 get_position_reconciliation                 | p_as_of_date date, p_fund_id uuid                                                                                                                                 | TABLE(out_investor_id uuid, out_fund_id uuid, out_investor_name text, out_fund_name text, out_position_balance numeric, out_ledger_balance numeric, out_difference numeric, out_is_matched boolean)                                                                                                                                | DEFINER
 get_profile_by_id                           | profile_id uuid                                                                                                                                                   | TABLE(id uuid, email text, first_name text, last_name text, is_admin boolean, fee_percentage numeric, created_at timestamp with time zone)                                                                                                                                                                                         | DEFINER
 get_report_statistics                       | p_period_start date, p_period_end date                                                                                                                            | TABLE(total_reports bigint, reports_by_type jsonb, reports_sent bigint, reports_pending bigint)                                                                                                                                                                                                                                    | DEFINER
